player,player_id,first_serve_pct,first_serve_win_pct,service_win_pct,second_serve_win_pct,first_return_win_pct,second_return_win_pct,rank,age,rank_change,cluster_rank,matches_played,cluster_age,climb_rate
Andy Murray,mc10,0.6535685738295907,0.6761661837968458,0.6336076291011534,0.5621855103976903,0.32780604963433446,0.4528144857092225,16,30.0,-15,607,36.0,0.03333333333333333,-0.4166666666666667
John Isner,i186,0.586933299383975,0.6296872678390664,0.5842898135474015,0.5157215164836866,0.25321604734535874,0.5136294706637404,17,32.0,6,600,57.0,0.03125,0.10526315789473684
Lucas Pouille,pf39,0.6347929532317886,0.6660512642086934,0.6111568468332429,0.5027970506239184,0.2674875241853978,0.48423058684104636,18,23.0,-1,596,54.0,0.043478260869565216,-0.018518518518518517
Tomas Berdych,ba47,0.6741735315249312,0.7048361998856383,0.6354887019750569,0.49550784885256965,0.31507842895501126,0.51927320703056,19,32.0,-7,592,53.0,0.03125,-0.1320754716981132
Nick Kyrgios,ke17,0.6055399677312145,0.7119275144891497,0.6283694331476755,0.5019982144551232,0.2743424926148681,0.47977561182633766,21,22.0,-6,570,44.0,0.045454545454545456,-0.13636363636363635
Kei Nishikori,n552,0.5672743696594854,0.7493149353950659,0.6156889128815517,0.43355956374249055,0.27666857610851153,0.4782494490536686,22,27.0,-17,569,44.0,0.037037037037037035,-0.38636363636363635
Milos Raonic,r975,0.5404841904976412,0.595305407980482,0.495156449892705,0.38675242776373114,0.2561305474358051,0.4783660009116827,24,26.0,-20,560,43.0,0.038461538461538464,-0.46511627906976744
Gilles Muller,ma30,0.6163324207851554,0.7217366595681004,0.6334156798274952,0.4957669021217055,0.27765472907925415,0.4633839957641589,25,34.0,3,516,50.0,0.029411764705882353,0.06
Diego Schwartzman,sm37,0.5794482609569137,0.6952195329210988,0.593143103768599,0.4455948574389862,0.2985816492197111,0.4839374397130477,26,25.0,27,507,65.0,0.04,0.4153846153846154
Fabio Fognini,f510,0.6144443273148306,0.7237956200597065,0.6428683344275151,0.5125113186063016,0.26163628721812304,0.5054500477933408,27,30.0,21,499,58.0,0.03333333333333333,0.3620689655172414
Adrian Mannarino,me82,0.6399619226407098,0.6694870503060157,0.5804370559723224,0.424157799572436,0.2736879716823616,0.43709453719595703,28,29.0,32,492,66.0,0.034482758620689655,0.48484848484848486
Philipp Kohlschreiber,k435,0.6288495900687194,0.7043367720504174,0.6094186744097472,0.4526254485003358,0.30984300595310754,0.4476720797309033,29,34.0,0,481,52.0,0.029411764705882353,0.0
Damir Dzumhur,d923,0.5745063763797,0.71877857000999,0.62610856951347,0.500544858907576,0.4049186215136432,0.5073999520827028,30,25.0,52,478,62.0,0.04,0.8387096774193549
Richard Gasquet,g628,0.5646243611778644,0.697548601695535,0.5592340722665063,0.393914146142592,0.287952676780329,0.5464051600049138,31,31.0,-13,475,46.0,0.03225806451612903,-0.2826086956521739
Pablo Cuevas,c882,0.615513640692312,0.6744394019982862,0.6127044065173035,0.5027080214202927,0.28104777891152055,0.5050109619104695,32,31.0,-11,462,41.0,0.03225806451612903,-0.2682926829268293
Mischa Zverev,z168,0.606395860950707,0.7004430978452875,0.6304213456585772,0.5251566941255543,0.27061043048939737,0.45907733813754975,33,30.0,2,454,63.0,0.03333333333333333,0.031746031746031744
